Chill rakh. Nahi to ‘mohan pyare’ nahi jaagega! | STD
Kehti hain ‘mohan pyare’ ko entertain nahi karegi. Ab iske liye shadi karu kya? | STD
Arre karegi entertain, lekin zarurat padne pe.. | STD
Tasneem aisi ladki nahi hain... | STD
To kaisi ladki hain be? | STD
Sun, tereko kahani sunata hoon... Salma ek din college ke fees ke counter par khadi thi. | STD
Fee collector se boli, ‘Sir, le lo na’ | STD
Fee collector lambi saas lekar bola, ‘2 minute ruko...aaraam se lunga’ | STD
Salma irritate hokar boli, ‘arre jaldi lelo, warna de nahi paungi... period shuru hone wala hain.’ | STD
Jaago Mohan pyare..jaago... | STD
Ek reporter ke career mein bahut breaking stories aati hain, har kahani usse thoda sa badal deti hain.. | STD
...lekin woh ek story hain, joh reporter ko pehle break karti hain... | STD
Woh kahani, Joh reporter ko journalist banati hain. | STD
Anuj, Aligarh mein agar koi source chahiye, to kiss-se baat karte hain? | STD
Wahan ke PTI correspondent se. Kyon? | STD
Koi number hain? | STD
Tumhara kaam hain stories select karna. Unhe likhna nahin! | STD
Yaar, thoda research karna hain pehle. | STD
Mail kar diya. Uska naam Utkarsh hain. | STD
Deepu dials from his office-line. | STD
Hi,main Indian Chronicle, Delhi se bol raha hoon...Kya meri baat Utkarsh se ho rahi hain? | STD
Secretary sahab. You maybe clearing the slums for the games, but you’re creating huge dumping grounds elsewhere. | STD
Sirji, hum kisika image kharab karne nahin baithe hain. There are enough people doing that at your end. | STD
Nameeta hangs up. | STD
I have a breaking story. | STD
Uske liye cubicle todna zaruri hain? | STD
Kal raat ko, Aligarh Muslim University mein, kuch TV reporters, ek professor ke ghar mein zabardasti ghusse. They filmed him having sex...with a rickshaw puller. | STD
I see! Arpit ko de do. He’s good with sex scandals. | STD
Tumko yeh sex scandal lagta hain? Kal University ne us professor ko suspend kar diya! | STD
So what do you see..? | STD
Deepu, tumhe yaha sirf chaar mahine ho chuke hain, you have to climb the ’wire’ like the others. | STD
Yeh story Sonali ko de do. I need someone with experience | STD
Agar mein news-wire pe sadte-sadte mar gaya na, to meri jagah ek plate laga dena. Likhna ‘Ek tha talented reporter, jisko surkhiyon ke samundar mein...duboh diya gaya!’ | STD
Shrinivas Ramchandra Siras is...was Chairman of the Linguistics department at AU and he taught Marathi. | STD
Aligarh University mein Marathi teacher? | STD
Aisi badi universities, ‘Modern Indian Languages’ ke bahut courses offer karti hain. AU mein 22 saal ke baad, Siras ko Linguistics Department ka chairman banaya gaya. | STD
Aur kuch?? | STD
Originally from Nagpur, Siras ek published poet bhi hain. Unhe Marathi Sahitya Academy award bhi mila tha. | STD
Kavi bhi hain?? Yeh sab..itni jaldi kaise? | STD
Au ke website pe hain. | STD
Title dhoondh raha hoon, ‘Grass Under My Feet’ . | STD
Sorry. Computer mein nahi hain. | STD
Store mein toh hogi?? | STD
Inki koi aur kitab? Naam hain Shrinivas Ramchandra Siras. | STD
Computer mein to nahin hain. | STD
Tum motor chalu karna bhool gaye. | STD
Sorry main late aaya ... | STD
10pm, motor has to be on, nahi to paani nahi ayega. | STD
Subah 7 baje phir chalu karna hain! | STD
PG ko darwaze par lock lagana allowed nahin hain. Aunty ne bataya hoga. | STD
Suspension se kya hoga? Kal appeal karenge, parson post wapas mil jayegi. Zaruri hain ke AU sakt action le aur Siras ko expel karde. Agar aisi gandi harkate teachers se hi ho, to students se kya umeed ki ja sakti hain...?? | STD
Professor Siras, main hoon, Sridharan. | STD
Professor Siras, hello?? | STD
Raat ko so nahi paya. Machhar bahut hain.. | STD
Andar aao na. | STD
Chai banata hoon.. | STD
Nahi. Time ho jayega. | STD
Letter likh diya? | STD
Letter kyon likhun? Uss dine jo hua... | STD
Jo hua, so hua. Ab aage ka sochna hain. | STD
Kya likhna hain? | STD
Yahi, ke jo uss raat hua, uske liye tum sharminda ho... | STD
Mere paas hoga ghar pe. | STD
Bahar ka mahaul bahut kharab hain. | STD
Kuch din tak campus se door rehna. | STD
Aise kaise baithe ho? You are not in a hammock in your backwaters. | STD
Sonali, feedback du? | STD
Dena hain to do. | STD
Tumhari story article kum aur gay rights morche ki script zyada lagti hain. | STD
Pair neeche kar, editor aaya hain. | STD
Itna kyon hass rahi hain? Important story kaha...good story nahin. | STD
Deepu, forget about her. Kahani abhi bhi tumhare haath mein hain. | STD
Good evening, Main VC sir se baat kar sakta hoon? Main Indian Chronicle ke campus beat se bol raha hu... | STD
Mujhe conveyance chahiye, Aligarh jaane ke liye. | STD
Kyon?? | STD
Meeting hain. AU ke Vice Chancellor, RK Abdurahman ke saath! | STD
Exclusive hain. | STD
Sonali ke saath jao. | STD
Sorry. Its a Malayali only deal... | STD
Deepu, Editor ke sanction bina I cant send you... | STD
Research kehke bhej dena. | STD
Fine. Photographer ko saath le jao. Tashi Ngawang ne kuch saal pehle ej story cover ki thi AU mein... | STD
Car allowance lekar bike pe kyon jaa rahe hain? Office mein pata chala to..? | STD
Darta kyon hain? Jo paise bacchenge, uski beer le lenge. | STD
Main beer nahi peeta. | STD
Gayi teri beer! | STD
AU mein kaunsi story cover ki thi tumne? | STD
September 16, 2007 ki raat ko, kuch students ne VC lodge par attack kar karke usse jala diya tha. Proctor ke office aur staff club ka bhi wahi hashar hua... | STD
Kyun? | STD
Ek student ka murder hua tha... | STD
...Ussi mahine rumours utthe the ki ek student ka rape bhi hua. | STD
Mar-dhaad phir shuru ho gayi. The university was closed and the students’ union was scrapped. | STD
Itne cameras nahi the uss waqt. | STD
VC ke meeting to dedh ghante hain... | STD
Coffee peete hain... | STD
Nahi. Siras se milte hain... | STD
Excuse me? Medical colony kahan padega? | STD
Seedhe chaliye, aur clock tower se bayi taraf mud jayiye. | STD
Kahan se ho? | STD
Dilli se... | STD
India kab aaye? | STD
Are you sure yahi jagah hain? | STD
Lagta hain tera Siras bhaag gaya! | STD
Nahi, yahi kahi hain woh, Pankha chalu tha... | STD
To? Pankha chalu chodke bhaag gaya hoga! | STD
Aise ghoor rahe hain jaise hum homo hain. | STD
Aapko pata hain Professor Siras kaha milenge? | STD
Kya kar raha hain?? | STD
Kya gay hona paap hain? | STD
Yaha kya kar rahe hain! Bahar niklye!! | STD
Woh yaha nahi aate, aap bahar jayiye! | STD
Jab se woh kand hua, tabse suspend hain. Ek baari aaye the, apna saman lekar chale gaye. | STD
Kaha milenge woh? | STD
Woh nahin jaante. | STD
Yeh department itna khaali kyon hain? | STD
Arre sahib, Marathi aur Malayam ke teachers ko kaun puchta hain? | BOM
Mushkil se do-teen students aate hain saal mein. Bas naam ke professor hain. | STD
Unse puchiye, Malayalam ke Professor hain, Sridharan...Siras sahib ke friend hain. | STD
Professor Sridharan... | STD
Yes? | STD
Main ek story likh raha hoon, Professor Siras par... | STD
Main aapse kuch sawal puchna chahta hoon. | STD
Sorry, main busy hoon. | STD
Bas do minute lagenge sir. Aapko lagta hain Professor Siras ka suspension jayaz tha? | STD
Main media se baat nahi karna chahta.. | STD
Main unki madat karna chahta hoon sir..! | STD
Aap madat na karo to behtar hain. Already is baat ka pahad ban chuka hain. | STD
Sridharan gets up to leave the room. | STD
Dekhiye, Siras aplogy letter likh chuke hain, aur yeh baat internally solve ho jayegi. Aap isse aur na uljhaeiye... | STD
Sir, University ne sting karne wale reporters par koi action nahi liya. Zahir hain woh Siras ko hi target karna chahte hain... | STD
Main aapse request karta hoon, Professor Siras ko aur expose mat kariye, nahi to samaaj mein unhe kahi jagah nahi milegi! | STD
Sir, lagta hain unki jagah already jaa chuki hain... | STD
Sheesh mahal style! | STD
Tashi, tu wait kar.. | DEL
Bol de, ki mera naam Tashi Pillai ya Tashi Menon hain!! | STD
Wife ne fish curry banayi hain. | STD
Too bad. Aligarh mein aisi fish-curry milna mushkil hain. | STD
Yaha urdu mein baat na karo to koi samajhta nahi. | STD
Delhi mein bhi wahi haal hain. Do saal mein Hindi seekhni padi. | STD
Backwaters mein rehkar tairna nahin aata?? | STD
Tumhare Amma aur Acchan wahi hain? | STD
Haan.. Sir, shuru kare? | STD
AU ko naye surveillance system ki kya zarurat thi? | STD
AU ek politically hostile environment ban chuka tha. Cross-border activities, student-clashes, khoon kharaba, roz ki baat ban gayi thi. Committee ne students par nazar rakhna zaruri samjha. | STD
Sir, 35 CC TV Camera’s, 300 uniformed guard’s jo ‘bulls’ ke naam se jaane jaate hain. . . | STD
Gate ke bahar Provincial Armed Constabulary ke 15 policmen. Unke haath mein 5.56 mm ‘Insas’ rifles hain, jabki aam policewale ke haath mein sirf .303mm ke rifles. | STD
Anginat infra-red CCTV cameras, jo andhere mein bhi record karti hain. | STD
Security upgrade ka khayal Union Home Ministry ka tha, humara nahi. Teen saal pehle students ne VC ke lodge ko jala diya tha. You know how serious that incident was? | STD
Maine padha ki surveillance system teachers ki sehmati ke bina paas hua tha? Aur AU Teachers Association ne is proposal ko oppose kiya tha. Phir bhi, pichle February, Executive Council meeting mein, aapne khud is proposal ko paas karwaya. Bagair minimum vote ke. | STD
Teachers ki maang thi ke cameras hostels aur classrooms ke andar install na kiye jaye. Baqaida humne waha CCTV nahi lagayi. The cameras are non-intrusive. | STD
10 crore ki surveillance? Woh rakam education ke liye bhi to kharch ho sakti thi? | STD
Students zinda rahenge to education hogi na? Mr Mathew, in do saalon mein AU mein na koi clashes, na koi arrests hue hain. Zahir hain ki opposing members humari kamyabi se jal rahe hain... | STD
Professor...Siras ko suspend kyon...kiya gaya? | STD
Iska aapke story se kya connection? | STD
Kya yeh sting operation, jiski wajah se Professor Siras suspend huye hain, koi misaal to nahi? | STD
Aapke is expensive surveillance system ki? | STD
Na woh sting koi surveillance thi, na hi koi misaal. Jin cameras ne Siras ko pakda, woh AU ke nahi the. Siras ko isliye suspend kiya gaya kyonki uski harqat immoral thi. | STD
Urdu mein immoral ko ‘badakhlaq’ kehte hain. | STD
Bad-akhlaq? Sounds like bad luck... | STD
Sir, jo kisike ke bedroom mein ho raha ho, kya woh ek private matter nahi? | STD
Tum press walon ka kaam hain aise bhadkaane-wale headlines likhna. Mera kaam hain AU ke tradition ko maintain karna. | STD
To aap maante hain ki Professor Siras ko apne sexual preference ki wajah se... | STD
No more questions Mr Mathew, my lunch-break is over. | STD
Tumhare amma-acchan ko kisi cheez ki zarurat ho, to mujhe phone karna. Kollam mein mere acche connections hain . | STD
BP check karna tha... | STD
Clinic to bandh ho chukka hain. | STD
Main dedh-ghante se baitha hoon, mera number kyon nahi aaya? | STD
Woh humko nahi pata. Nurse se naam likhwaya tha kya aapne? | STD
Haan! | STD
To phir aap kal aaiye. Nurse nikal chukki hain. | STD
Main dedh ghante se baitha hoon, woh kaise jaa sakti hain?? | STD
Aap kya kar rahe hain?? | STD
Yeh allowed nahi hain..arre??? | STD
Siras checks his own blood pressure. His face is red and he breathes heavily. | STD
Aap theek hain? | STD
Siras holds onto Deepu’s arm. | STD
Kya aapko Doctor ki zarurat hain? | STD
Sara dopahar dhoop main tha mein. Monday I do grocery shopping na. Must be little bit sun-stroke. | STD
Mujhe bag dijiye please. | STD
No. No. It is fine! Kya padh rahe ho tum? | STD
Actually main...Delhi se aaya hoon... | STD
DU se? Nice. But AU jaisa campus aur kahi nahi milega. India mein number 3 hain..! | STD
Sir, jo aapke saath hua, woh bahut galat hua. Main..main.. | STD
Deepu? | STD
Tujha aai la!! Bhenchod, reporter aahes tu??? | BOM
Sir, main aapko batane hi wala tha. | STD
Madarchod, nikal idhar se! | STD
Tashi, band kar! | STD
Wapas aaya to taang tod dunga Saale! | STD
Siras Saab? | STD
Mujhe chaiwalle pe chod ke bhag gaya? Mereko kya malum tha? | STD
Saale, tera camera ek second ke liye rukta nahin hain kya? Uske naak mein ghuske photo le raha tha. | STD
Tu kaha ruka hua tha? Jhoot bolke uske peeche pad gaya? | STD
Kamsekam uski feelings to samajhta hu. Teri tarah bikau nahin hu. | STD
Abe, kisiko ko fool mat kar, tu ye uske feelings ke liye nahin, khud ke liye kar raha hain. | STD
