Bus yahi sapna mujhe baar baar aata thaki main udh raha hoon aakash mein pakshi ki tarah | STD
Gagan ko cheerta main chala jaa raha hoon | STD
Aur jab main udh raha hota hoon toh saath mein ek khushi ka ehsaas | STD
Aisi khushi jisko shabdo mein batana mushkil hai | STD
Aaisi anubhuti jaisi jeevan mein koi aur nahi thi neerali | STD
Lekin yeh sapna nahi hai yeh vaastavikta hai | STD
Yeh hawa jo mere chehre ko choom rhai hai | STD
Yeh saayn saayn ki awaz mere kano mein | STD
Yeh yatharth hai Aaj main wakai gagan ko cheerta chala jaa rha hoon | STD
jaise makhhan mein garm chhuri | STD
Isliye padha likha rahein hain tere ko? Isliye? | STD
Kiya kya hai maine? Picture hi toh gayi thi.. | BOM
Uss lafange ke saath? | DEL
Toh Baooa kya jhoot bol raha hai? | STD
Nahi Chacha kasam se sab jante hain uske | STD
Ekdum badmash launda hai | DEL
Har hafte uska koi naya naya kaand shuru ho jata hai | DEL
Tu chup ho ja kalmunhi | DEL
Subah ko ghar pe bol ke jaati hai | DEL
Ki kalij ja rahi hai. Yeh tera kalij hai? Sab ke munh pe kalikh pot dijio | EUP
Upar se jubaan pe jubaan ladaye chali jaa rahi hai | STD
Tum kuchh bolna mati | DEL
Dekhna aise hi lakshan rahe n tumhari beti ke | STD
toh ek din main hi gale mein phanda laga ke pankhe se latak jaungi | STD
Puja karke uthoge, pankha chalaoge toh dekhna Pushpa gol gol, gol gol ghoom rahi hai | STD
Tabhi kaleje pe thandak padegi sabke | STD
Badhi padhai kar li taine | EUP
Aise hi nahi mil rahe hain ussey pyar karte hain ussey | DEL
Arri kalmunhi tu toh pyaar karti hai ussey magar uske mann mein kya chal raha hai, woh tujhe thode hi maloom hai? | DEL
Kal ko tere saath kuchh oonch neech kar ke maar ke tujhe phenk dega jamuna ji mein | EUP
Phir tasue bahaati rehna | EUP
Bas abhi ghar se nikalna band tera! Bahut ho gaya tera naatak | STD
Kya karna kya hai iska? | STD
Kuchh nahi bhai Do char din ghar pe baithegi saara bukhar utar jaayega | DEL
Arre bahi ro rahi hai | DEL
Bhai woh launda theek nahi hai | DEL
Jisse poochho woh ek naya hi kissa sonata hai uska | STD
Akela rehta hai yahan pe | STD
Na kaam na dhandha na uske oopar koi dekhne wala | STD
Laundiya baazi mein number ek hai woh | DEL
Baithe bithaye bikar ka | EUP
Aap kahe ko pareshan ho rahe ho bhai | EUP
Do din mein sara nazla utar jayega | EUP
Pandit ji ka ladka saala ek number ka phattu hai bakk dia | BOM
Kothri mein bandh karke rakha hai jaise raat ko bhaag jaayegi kahin | STD
Khoob royi didi, khoob royi | STD
Yeh saale Baooa ko toh aisa thokunga na mai | DEL
Mai hota toh kya teer maar leta | STD
Mai toh pahle hi fail item hoon | BOM
Chai taiyar hai | STD
Garam hai? | STD
Haan bahut garam hai Dheere dheere peena,nahi toh munh jal jaayega | STD
Ruko na thodhi der | STD
Arre doosri seetee bol gayi hai cooker ki | DEL
Bhabhi hai na | STD
Bhabhi hi toh kar rahi hai na saara kaam | STD
Aap kaun bol rahe hain? | STD
Amma phone par toh baat karne do | STD
Aur tum bhi ussey milne ki koshish mat karna | STD
Samajh gaye | STD
Kyunki hum kah rahe hain isliye | DEL
Hum chacha hain uske | STD
aur parichay dein? | STD
Jhoot bol rahe hain sab | STD
Haan main bol rahan hoon | STD
Khaya kuchh usne? | STD
Ek baar phir pooch ke dekh lo | STD
Ab main yahan se kya karoon | STD
Theek hai | STD
Tum hi dekho na | STD
Achha theek hai phir jo man mein aaye karo, aur kya | DEL
Nahin jee woh ek number ka gunda mawali hai | STD
kaise jakar peetein? | STD
Usne apne aur mustandon ko bula liya toh | DEL
Aap toh jaante hi hai na inkey liye kya chaaku chhuri | STD
kya pistaul | STD
Nahin yeh police waali baat hi theek rahegi | STD
Aaap rahenge na sham ko | STD
Main jaldi hi aa jaunga | STD
Theek hai | STD
Kya chahiye? | STD
Haan chacha, yahi hai Ajju Main kah raha hoon yahi hai | EUP
Yahi hai jee | DEL
Maine kuchh nahi kiya | STD
Saale sharm nahi aati hai | DEL
Bholi bhaali ladki ko gumraah karte ho? Hain? | STD
Saale gunda gardi macha rakhi hai tumne | DEL
Apne hi mohalle ki ladkiyon ko barbaad karte ho | DEL
Bataoon abhi aur? | STD
Isko toh saale ko nanga kar ke isski chutadh pe chappal se maaro | EUP
Usska bhala bura humein hi samajhna hai | STD
Ab tum tang mat karna ussko | DEL
Samajh gaye na? | STD
Nahi samajh mein aaya toh thane jaa ke samajh jaayega | DEL
Sun, aaj ke baad tu Rita ke aas paas bhi nazar aaya na toh | STD
Arre theek hai Kah diya humne Nahi karega ab woh | EUP
Beta kha lo kuchh 24 ghante se jyada ho gaya hai | STD
pet mein ann ka ek daana nahi gaya hai | STD
Kahin tabiyat shabiyat bigad gayi toh | EUP
Rishi bhaiya zara ek paan le aaoge humare liye | STD
Lo kha lo ab Abhi koi nahin hai | STD
Main khilaoon kya apne haath se? | STD
Ab kya maafi maange tumse | DEL
Woh aisa ladka nahi hai Bauji | STD
Ab toh hum khud uss se mil ke aa rahein hain na | DEL
Tum hi theek kah rahi thi hum sab galat they | STD
Ab sorry kah rahein hain.. Kha lo kuchh | DEL
Aap log koot ke aaye hoge khoob usko | EUP
Nahi kasam se nahi maara.. Lo khao. | STD
Phone kar sakti hoon usko | DEL
Achha kar lena magar kisi ko pata na chale, hain? | EUP
Kya hua sona nahi hai | STD
Arre kuchh hoga tabhi baithogi kya | DEL
Kuch bologe? | STD
Humlog kitne gadhe hai na | DEL
Bina kuchh dekhe boojhe apne dimaag hi dimaag mein kuchh taana baana bun lete hain aur usska hauwa bana kar ghumne lagte hai | EUP
Samajh rahi ho? | EUP
Kaise woh Pandit ke launde ne kah diya aur humnein maan liya | DEL
Woh toh bechara ekdum gau nikla | DEL
Apni ankho dekhi par yakeen na kare toh kis pe yakeen karein? | STD
Isliye toh baar baar insaan galti karta hai | STD
kyunki bina dekhe, jo hai, doosro ki baat maan leta hai | STD
Badan bhi garam ho raha hai | STD
Suno main badhbadha nahi raha hoon Tum bhi uss ladke se milti na, toh yehi kehti gau | EUP
Usske saamne toh sab humare hi pariwar wale gunde lag rahe the | STD
Uss bechare ne toh haath toh kya apni awaz bhi nahi uthayi ek baar bhi | STD
Wah bhai wah jaise woh bechara waisi aapki beti bechari aur waise hi aap | STD
Chalo main jaa rahi hoon sone Aa rahe ho ki nahi | STD
Ek baat meri samajh mein aayi hai ki hum logon ke saath itna dhokha hua hai | STD
ki humein maar maar kar duniya bhar ka jhoot humaare andar thoons dia hai | EUP
aur hum ghadhey ke bachchey sub kuch aankh moond kar sach samajh ke satak gaye | STD
Pura ka pura aur uss jhoot ko apna sach maan liya hai | STD
Kuchh nahi rakha hai iss sabmein | STD
Yeh khabar nahin hai | STD
khabar woh hai jo tumhari aankhein dekhti hai jo tumhaare kaan sunte hainbaaki sab bekaar hai | STD
Bhai do na akhbaar | DEL
Ab tujhe to school mein padhate hain Jise tu ratta maar maar ke yaad karta hai | DEL
Woh tera bhoga hua toh hai nahin Tu apna sach dhoond | STD
Tu kyun doosron ki baat par yakeen kare | STD
Jaa rahin hoon Amma.. Teen baje lautungi | STD
Der mat kariyo.. Sidhe ghar aayio college se | STD
Sun rahe ho ek hi sach hai woh jo ki tumhara sach hai agar tumhara nahi hai sach toh bus jhoot hai Samjhe | STD
Bhai mujhe der ho jaayegi Main jaaun nahane? | DEL
Jao nahao | STD
Lekin ek baat meri samajh mein aayi hai ki jo baat tumhare apne anubhav mein nahi hai, uss baat par yakin kaise kar sakte ho? | STD
Woh toh kahi suni ho gayi na | STD
Tumhe kisi ne kuchh kah dia aur tumne maan liya | STD
Ab jo main bhi kah raha hoon usey bhi jhat se nahi maan lo | DEL
kyunki wo toh mera sach hai tumhaara toh nahin.. hain | STD
Sach hai tayaji Main jaa raha hoon, aata hoon tayaji | DEL
Ab aapka jo kaam hai woh toh aap jaanti hai | STD
Usey toh aapne jiya hai baaki ka kya? | STD
Kya guaranty hai ki woh sach hai | DEL
Paani garam hai | STD
Maine faisla kar liya hai | STD
Aaj se balki abhi se main har uss baat ko maanne se inkaar kar doonga jisey ki maine khud nahi dekha ya suna ho | STD
Mera sach mere anubhav ka sach hoga | STD
Aaj se main har baat se sawal karunga | STD
Har cheez ko dubara dekhunga, sununga,jaanunga Apni nazar ke tarazu se toulunga | STD
Koi aisi baat jisey maine jiya na ho, mere muh se nahi niklegi | STD
Jo maine galat seekha tha, ya galat tarike se seekha tha, wo sab bhoola dunga | STD
Sab kuchh naye sirey se sikhunga, naya sikhunga, sachcha sikhunga | STD
Haan bolo kya bol rahi ho? | DEL
Main toh yeh kah rahi thi | STD
sab kuchh abhi sikhoge ki pahle pant pahan loh, phir baad mein seekh lena | STD
Aap ko toh na nayi nazar se dikhta hai, nahi puraani nazar se | STD
Aur dikhta nahi hai toh kum se kum sun toh liya karo | STD
Mithai hai | STD
Prasad hai Sharma ji ka chadhawa hai | STD
Prasad hai bhagwan ka | STD
Kya hua Bauji..? | STD
Maine tujhe kabhi dekha hi nahin tha theek se | STD
Kitne achchhe se tu muskarata hai, re Kitna sundar hai tu | STD
Bauji kyon subah subah taang kheench rahe ho meri? | DEL
Satya tu hi sundar hai, tu hi Shiv hai | STD
Lekin Raje bhai jo cheez ko sab maante hai ussko bhi nahi manenge | STD
Jaise ki bharat ke pradhanmantri Manmohan Singh hai | STD
Yeh kaisi baat kar rahe ho Bauji..Yeh toh bachcho ko bhi pata hai | STD
Dekho bhai main inkaar nahi kar raha hoon | DEL
Lekin maan bhi toh nahi rahe ho na | STD
Main toh kah raha hoon honge | STD
Bhai yeh toh aapne bahut bada upkaar kiya Doctor Manmohan Singh pe | STD
Arey chhodho na sab ke sab pichhey padh gaye hainge inke | STD
