Kya bola | STD
Bandh kar apni allah allah Dua kabool ho gayi hai | HUM
Dafna do nawab sahab ko | HUM
Mushtaq bhai yeh to na insaafi hai | HUM
Khalu ki dagaa ki sazaa mujhe kyun de riye ho aap  Agar mere dil me khot hota toh mein bhaag na jaata | STD
Yahan aata hee kyun  Mushtaq bhai please  Mera yakeen karo | HUM
Achcha chalo kam se kam aakhiri khwahish | HUM
toh poochh lo | STD
Lateefa sunana hai | HUM
Nahi Afsana | HUM
Ek hazaar roz ka  Sherwani ke andar | HUM
nawab bhi taank rakha hai kya miyan | HUM
Chandpur ke Nawab ki sherwaniyaan hain huzoor Haj pe gaye hain isiliye kiraye pe mil rahin hain  Kar doon dono pack | HUM
Nahi ek Aur ek koi ghatiya saa | STD
angrakha dikhaaiye iske liye | STD
Kyun khan | STD
Nawab ke saath ek khadim lazmi hai | HUM
Tum kya ho  Nawab | HUM
Haan khan | STD
Waah khan | STD
Haan khan Tu kuchh bhi pehen le | STD
shakal se khadim hee lagega | HUM
Kab se kaanpte ho miyan | HUM
Yun hee bas kuchh dino se | STD
kyun jhooth bol riye ho Khalu | STD
Kai saal se kaanp riye hain miyan | HYD
Aur abhi toh dhoop chadhi hai | STD
subah subah toh zalzalaa hota hai zalzalaa | HUM
Main aamlate banane ke liye bedaa pyaali mein tod ke chammach inke haath me pakda deta hoon  Thar thar thar thar   Doh minute mein apne aap hee phit jaata hai andaa  Labalab jhaagdaar | STD
Hamare dadajaan bahot badey hakeem hain Milna chahenge aap ? | HUM
Dikh nai riya kahin Khalu | BOM
Kya hua | STD
Nawab sahab farmaa rahe hain kee aapke haar sade huey hain  badboodaar | STD
Kya baat kar rahe hain  Nawab sahab  Ye dekhiye | STD
Jee  main abhi bulata hoon driver ko | STD
Haan Pervez   Gaadi le aao  Aur  AC chala ke rakhna Nawab sahab garmi nahi toilet kar sakte hain | STD
Ye dekhiye Nawab sahab Asal mein officially hum issey bech nahi sakte | STD
Kyun ? | STD
Ye Hyderabad Pakistan wala Wahan ke Nizaam ke yahan se chori ho ke aaya hai | STD
Nayaab cheez hai huzoor magar paisa poora cash mein | HUM
Kitne  Pachaas  Advance | STD
Paanch | STD
Aapka pekhana kidhar hai | STD
Kyun | STD
Nawab sahab cash andar chhupa chalte hain Chaddhi mein | STD
Chaddhi mein Kitna aa jaata hai | STD
Chaar  paanch | STD
Kaise ? | STD
Do dhai aage Do dhai peechhe | STD
Generator on kar be | STD
Arrey pakdo re | STD
Khalu  haath doh Jaldi | STD
Na Teim nahi hai. Tu ja beta | DEL
Nahi Khalu haath doh | DEL
Meenari masjid ke peechhe kabrastan | STD
mein saadhe teen baje theek | STD
Khuda hafiz | HUM
Arrey Khalu Suno toh | HUM
Kis moonh se bataaye tumhe ki tumhara bhai phir hamara jaanghiya kheench ke bhaag gaya hai | STD
Jab tak tumhara tohfa wapas nahi milta hum tumhe shaqal toh kya aawaz bhee nahi dikha sakte jaan | HUM
Saadhe paanch baj rahe hain Ab faisla kar le | STD
Kya | STD
Sar kaatoon kee nunni | STD
Mushtaq bhai Mujhe agar Khalu ki gaddari ka ilm hota toh main yahan aata hee kyun Bhaag naa jaata | HUM
Sar kee nunni | STD
Aap toh insaaf ke liye mashhoor ho | HUM
bhai Please | STD
Sar ke nunni | STD
Japan ke underworld mein toh ungli kaat te hain | STD
Ye India hai be | STD
Chal be sikka uchhaal Head aaya to sar aur tail toh nunni | STD
Tail | STD
Ye toh dono taraf tail hai Mushtaq bhai baat kya hai aap meri nunni ke peechhe kyun pade ho | STD
Ye kya kar raha hai tu Babban | STD
Main sach mein apna bheja uda loonga Mushtaq bhai | STD
Neeche kar warna main zaroor uda doonga | STD
Chootiyon  Neeche karo apne hathyaar | STD
Gaadi ki chaabi doh | STD
Dekh galat baat hai beta Pistaul de pehle | STD
Mat doh le lo ek masoom ka qatl apne sarr | HUM
Teen tak ginoonga main zinda Aur uske aage bhoot ban ke | STD
Beta sun | STD
Ek  Silence Doh | STD
Le | STD
Sorry Mushtaq bhai Par vaada karta hoon Jiji ka tohfa ya Khalu ki nunni ek cheez lekar hee wapas aaoonga | STD
Kyon chhod dete aap inhe har baar | STD
Batman ka naam suna hai tune | STD
Joker agar mar gaya toh Batman kya karega | STD
Kya | STD
Atta goondega ghar mein chootiye | STD
Aap joker ho ? | STD
Pata chala ? | STD
Yahan koi aayega aur mera pataa poochhega | STD
Teri aankhon mein talaashega mujhe dhoondega | STD
Waah waah | STD
Toh ye thay Chandpur ke Nawab Iftekhar Hussain aur hum iss waqt khade hain Mahmudabad ke railway station par jahaan poore mulk ke behtar se behtereen shayar jamaa ho rahe hain  Mahmudabad kee Begum sahiba Begum Para ke salaane jalse ke liye | HUM
Ye jalsaa Begum apne marhoom shauhar Nawab Meer Khan sahab kee yaad mein organize karwati hain | HUM
Nawab sahab kee aakhiri khwahish thee kee unke baad Begum umr bhar bewaa naa rahein aur doosra nikaah zaroor kar lein | HUM
Lekin pichhle paanch saalon mein aise kisi bhee shayar ne Mahmudabad ki sarzameen pe kadam nahi rakha jiska kalaam Begum ke tapte sulagte dil pe saaya ban ke gir sake | HUM
Aaiye mil ke duaa maange yaa allah | HUM
