Itni kya urgency thi yaar? | STD
Zindagi saath bitaani hai humein, abhi ye log keh rahe hain kuch din mat milo to ruk jaate hai na? | STD
Chalo na | STD
I think tum vaapas chali jao. | STD
Abhi tak kisi ne dekha nahin hai humein | STD
Ye rasam-rivaaj aur aaiye ji namaste ji | STD
ghaghra aur jhumka aur nathni | STD
please chalo yahan se | STD
Thodi der is ghar se door rehte hain, khule mein. | STD
Sirf ek ghante ke liye | STD
Ek ghante ke liye? | STD
Gaadi to start karo | STD
Pandrah minute | STD
Achcha chalo to | STD
shakes his head, starts the car. | STD
Pandrah minute | STD
Chaloooo. | STD
Paanch minute bache hain | STD
Arey? | STD
Abhi time start nahin hua hai. | STD
Pehle in bright lights se to nikalte hain, | STD
khule mein jaate hain kaheen | STD
Highway chalein? | STD
Bina security ke? | STD
Bus highway ko touch kar ke aa jayenge, theek hai? | STD
Promise 	Dekho ye bilkul | STD
Dimagh ke saare knots khul rahe hain | STD
Good, vaapas chalte hain | STD
Thode aur khulne hain. Little more, okay? | STD
Ye little more little more karte karte bahot zyada ho gaya hai 	Haan to little more | STD
ye raasta safe nahin hai | STD
Toh tum ho na | STD
vaapas hi nahin jaate hain yaar Haan? | STD
Chalo bhaag jaate hai hum | STD
Haan na Kat lete hain yahan se | STD
Aur ek beautiful ghar banaate hain kisi pahaad par. | STD
Tum bhedh charaana, main tumhaare liye khaana banaoongi… | STD
bahot maza aayega. | STD
Okay, main turn kar raha hoon | STD
Bahot ho gayee bewakoofi | STD
Little more, little more | STD
Kaafi pehle mud jaana tha humein | STD
Band to nahin ho gaya? | STD
See Hawa kitni alag hai yahan. Kitni Fresh | STD
Sheher mein to bechaini hoti hai saans lene mein | STD
Aisa kyon nahin ho sakta? | STD
Agar tumhaara drama khatam ho gaya hai to vaapas aa jao | STD
Tum baahar aao na Ek second ke liye | STD
main keh raha hoon | STD
Ruk saala Ruk Ruk | WUP
Sagle khade raho vaheen | WUP
Teri | WUP
Agli idhar chalegi Pher na boloonga | WUP
Arey kah wa jeep ko? | WUP
Maine kaha tha na? Maine kaha tha | STD
Ya gaddi pakad | WUP
Ab khush? | STD
Peeche aayo koi to goli chal jaagi | WUP
Dekh roun main | WUP
Chal nikal, nikal | WUP
e phaun laga | WUP
AeTere paas gaudi ae? Kauhan hai tu? | WUP
Jaana kahaun ae? | WUP
Mangad ke peeche waalo rasto dekh ro ae | WUP
Seedho chal batata oon | WUP
vaaye raaste par paahad ke peeche aa ja khtettan mein Aur | WUP
Aa jao aa jao Sagle o? | WUP
Haan | STD
Yu koun ae? | WUP
Peeche ke darwajje khol. | WUP
baith | WUP
Daalo yaaye bhitter | WUP
Haanthan ne baandho | WUP
Naam bol apna | STD
Naam ka ha tera? | WUP
Mujhe ghar jaana hai | STD
Naam naam | WUP
Arey chup | STD
Bol | STD
kaha? | WUP
Ho ga? Hain? | WUP
Manek Tripathy ki beti hai? | STD
Hajaaran ber keh chukaoon in ameeran te door raha kar | WUP
saban ki pahonch howe ae, inte uljhega to ye teri khaale udedh denge badan se | WUP
Ab siltiyo yaate | WUP
Itti baddi odi gaadi mein kaun chale ae? Hain? | WUP
Haan par Tripathy ki chhori? | WUP
Haan Tripathy ki chhori | WUP
Police, Home Guard, BSF, Millaetry sagle thaare pichhonde su ghus ke thaare munh se nikalne waale hain, ab bacha le apni ijjat | WUP
Ek hi raasto ae | WUP
yaay kain phenk-ooonk ke lambe nikal lo aur haath jodo Ram ke | WUP
Aur chhe maheene, saal talak mud ke Dilli ki ore munh mat na kar liyo | WUP
Insaan ne apni okaat pata honi chaiye | WUP
Gaand mein na goo, hagne chale pahaad | WUP
Teri gaandephat te huye dekh ra oon. | WUP
Ya ke jaisa ho gaya ae tu bi | WUP
Tau	Ae Bhaati | WUP
Ya pistale alag kar | WUP
ameeran te door ra kar, dara kar | WUP
Tau	Tu na bolega abhi | WUP
Kaaha mil go humein inte dar ke? Hain? | WUP
Inhein salaam thoko, inke darwaaje kholo Kyon? | WUP
Kyonki saale ye jab chaein, jaise chahein le sakte hain teri | WUP
To le to rakkhi ae | WUP
Or kon si leni baaki ae? | WUP
Baat yu ae ki chaaploosi ki aadat pad gi ae humein | WUP
Dene mein maja aane laga ae ab | WUP
Bhaati teri | WUP
Tau	 ya ae le ja baahare | WUP
Abey oo Manek Tripathy ae.. | WUP.
sagli duniya mein vaake kaarkhaane aae | WUP
neto minister saare vaake ghar aawe-jaawe ain | WUP
Us se bhid jaan? | WUP
Ka karega? Hain? Phone karega vaake | WUP
Ji aisa ae ki aapki laundiya mhaare paas hai. | WUP
To main sms kar raha hoon address, aap na jara paise le ke vahan aa jaana. | WUP
Theek yueen boloongo main | WUP
Aur jab londiya ki taang pe goli padegi na | WUP
to Tripathy ka baap bhi aavega paise le ke. Na to kothe pe bitha doonga saali ye. | WUP
Bik jaagi kisi andheri gali mein kahaiye patto bhi na chalego bahot baddo ae hindustan. | WUP
Ar kuch bhi na huya to saali ki thoothdi pe goli maar doonga par chodoon na vaaye | WUP
Tau	Ya ki taant pe to kauuo baith go hai | WUP
Aur deekhe bethaaego mhaari pe bhi. | WUP
Kutte ki maut marego Bhaati Sun le | WUP
Kutta kutte ki maut i marego | WUP
Kaha paad lenge mero, chaar bere phaansi devenge? | WUP
Teen khoon to pehle hi hain | WUP
Jaisi jindagi hai mout bhi vaisi hogi par ya kaam to hogo | WUP
Yu main karongo | WUP
Ghabraiye nahin | WUP
bolte hain humko.. | WUP.
Hum dhyaan rakhenge aapka, theek hai…? | WUP
