Objection. Aapne to suspense novel likhna shuru kar diya? | STD
Your honor. 5th february ki subah, iss ghatna ke teen din pehle, ek envelope AU ke VC, RK Abdurahman ke desk par pahunchi. | STD
Objection. Yaha VC ki baat kyon ho rahi hain?? | STD
Us letter ke andar thi ek notice. President’s Commission se. Desh ke rashtrapati ne khud, VC Abdurahman ke khilaaf, ek enquiry order ki thi. This was a result of accusations against the VC for financial irregularities and misappropriation of funds. | STD
Kya yeh sting operation is bade scam se nazar hataane ke liye rachi gayi? | STD
Kya Professor Siras ko namuna banakar, Abdurahman aur unke saathiyon ne conservative Muslim vote bank ko impress karne ki koshish ki? Taaki unki nazar mein VC ki ‘naitik-mulya’ badhe aur aane wale election mein woh unhe support kare. | STD
Ise kyon accept nahi kiya gaya? | STD
Because the system, the power of an institution failed the constitution. Collectively, they failed one man. | STD
Mr Siras, meet Mehmood Naqvi, a well known artist from Delhi. Yeh hain Abhilash Tripathi, jaane mane kavi hain, yeh Prathmesh Sharma, vakeel hain. | STD
Na tum satya ho. Na main satya hoon. Na jeet mein hain satya na haar mein satya hain. Na aarambh mein hain satya, na manzil mein hain. Satya to satat sangharsh mein hain. | STD
’O beloved moon, fear not the dawn that separates us. For we must unite again when the world sleeps.’ | STD
Yeh meri kavita hain... | STD
Aapki kitaab padi. Mushkil se mili thi. Meri translation kaisi lagi? | STD
Theek hain. I will give you better one. | STD
Prathmesh laughs. | STD
It would be an honor. | STD
Siras sahib, aiye aapke liye ek drink banate hain. Kya pasand karenge aap...? | STD
Whisky please. Small. | STD
Aaj mana na kijiye Siras sahib. Utar jayegi yeh sharaab, lekin yeh raat kabhi na khatm hogi. | STD
Aur na utri, to hangover se inka bada gehra rishta hain... | STD
Kya matlab? | STD
Inki kavita...’Hangover Ki Yaadein’...padne layak hain. | STD
Nahi, nahi. Woh to aise hee chaap dee thi publisher ne. | STD
Sir, aise hee nahi milti Sahitya Academy Award. | STD
Chaliye andar. Aisi performance aapko shayad kahi aur dekhne ko mile. | STD
Yeh wahi log hain jinhone aapki petition ko sign karke aapko support kiya tha. Aap inke liye aaj hero se kum nahin hain. | STD
Mere life mein sabkuch 10 saal late hee hua. Pehtees saal tak padhai ki, chalees saal mein ghar choda, aur ab, retirement ke time pe, tum log mile mujhse! Woh kehte hain na, der aaye, durust aaye. | STD
Accha, mera ek favorite gaana hain. School se aate hue hum bacche gaate the Nagpur mein. Aaj bhi jab university se ghar jaata hoon, yahi gaana yaad aata hain. | STD
Rent dekhkar samajh aata hain ki log property ke liye jhadge aur murder tak kyon karte hain. | STD
Ek hi solution hain. Paise bana, daldal se nikal. | STD
Kucch kaam tha.. | STD
Bhai office mein accha kaam karne ka kya inaam milta hain bolo? | STD
Kya? | STD
Aur bhi kaam milta hain! | STD
Tumhara ghar nahi hain kya? | STD
Yahan? | STD
Meri News Editor ko pata chala to? | STD
Your News Editor doesn’t have a life. Almost chaubees ghante office mein bitaati hain. | STD
Pareshan lagte ho. Raat ko ghar nahi jaate. Whats up? | STD
PG mein rehkar tang aa gaya hoon. | STD
Yeh tumhare probation ka akhri mahina haina? | STD
Haan. | STD
Phir apna ek makaan rent karlena. | STD
Ghar paise bhejna hain. Dad se loan liya tha. | STD
Do chaar mahine baad de dena. | STD
Koi aa gaya to? | STD
Koi nahi aata. | STD
Deepu, uth! ’Wire’ pe kuch aaya hain. Its about Siras. | STD
Professor Siras ko MIL department ka Chairman phir se banaya jayega aur unka makaan, 21, Medical Colony unko lauta diya jayega. | STD
Court ne yeh bhi aadesh diya ki News100 ke banaye gaye video ke saare copies jalaye jaaye, aur compensation batuar, Mr Siras ko 30 lakh rupees award kiya jaye. Lawyers Collective aur Naz Foundation ke liye yeh Human Rights ko lekar doosri badi jeet hain. | STD
Party kab hai? | STD
Mujhe Siras ke saath exclusive chahiye. | STD
Aur Deepu aur ek baat. | STD
Kya? | STD
Main bus pe tha.. | STD
Aap tayyar hain agle story ke liye? | STD
Ek minute, mujhe TV ka volume kam karne do. | STD
Aap University kab join kar rahe hain? | STD
High Court order se jaise hi university pahuchega... | STD
Kab pahuchega order? | STD
Kal subhah. Mera bhanja usse lene Allahabad gaya hain. | STD
Aur Ab? Aage kya? | STD
Aage? Sochta hoon mein America chala jaun, jahan mere jaise log izzat se reh sakte hain. | STD
Yahan bhi aapki izzat hain Professor sahib. | HUM
Deepu, mein tumhe aise hi phone pe interview nahin karne dunga. You must come here and meet me! | STD
Kal aajau? | STD
Parson aana. Mere department mein milenge hum! | STD
Done. Parson subah 11 baje! Aapke office mein chai peeyenge. | STD
Chalo, ab phone rakhta hoon. Bahut neend aa rahi hain. | STD
Kahin jaa rahe ho? | STD
Ji. Yaha se chhod ke.. | STD
Kal subah bhej dunga. | STD
Ek mahine ka rent katega deposit se. | STD
Yahi par milne ko kaha tha! | STD
Unreachable aa raha hain. | STD
Aap log phir aa gaye? | STD
Siras sahib nahi aaye? | STD
Ajeeb hain. Do mahine baad aap log wahi sawal kar rahe hain? Bataya to tha, unko yaha aana mana hain! | STD
Ek ghante se baithe hain. Chalo kuch kha lete hain! | STD
Kahi usne interview dene ka irada to nahi badal diya? | STD
Dr.Islam? Meri Professor Siras ke saath meeting hain, aur unka number unreachable aa raha hain... | STD
Sorry Deepu, Main kuch dino se Aligarh mein nahin hoon. | STD
Kya aapke paas Professor Siras ka address hain? | STD
Ji nahi. But you can ask Sridharan. Woh unse recently mile the shayad. | STD
Can I talk to Professor Sridharan? | STD
Who are you? | STD
An ex-student of his. My name is Deepu. I’m from Kerala | STD
Please professor Sridharan, Siras sahib case jeet chuke hain. Ab aapko kis baat ka darr hain? | STD
Mujhse kya chahte ho? | STD
Subah se unka phone unreachable hain. Kya aap mujhe unka address de sakte hain? | STD
Durgawadi mein rehta hain kahin. Post Office ke paas. Exactly I don’t know. | STD
Aunty, Yahan pe jo rehte hain, kya woh kahin bahar gaye hain? | STD
Kaun aadmi? Kisiko nahi dekha waha. | STD
Yeh phone off rakhna--very unusual of him. Tereko lagta hain doosre journalist ko exclusive de diya hoga? | DEL
Kya baat kar raha hain yaar? | STD
Jeet ke baad sab unke peeche pad gaye honge, breaking story ke liye. | STD
Abey, tere feelings ka kya hua? Yaad hain, tereko teen mahine diye the mahine...bikau ka matlab samajhne ke liye! Do mahine mein seekh gaya yaar! | STD
Yaha kab tak wait karenge? Kisi aur se baat karte hain tabtak? | STD
Kisse? Islam hain nahin. Aur Sridharan to fatoo hain. | STD
Ek idea hai. Chal Tashi! | DEL
Dekho, mujhe kisi cheez ka darr nahin. Especially uss aadmi ka, jisne is institution ke saath ghalat kiya hain. | STD
Par Professor Siras to case jeet chuke hain. | STD
Pehla round shayad woh jeet gaye honge, par agle round ki tayyari jaari hain. Abhi to court order bhi nahi pahucha hain. | STD
Woh to aaj subah pahuchne wala tha? | STD
Jab ayega, tab ek committee form hogi, order ko bareekhi se study karne ke liye. | STD
Is mein kitna time jayega? | STD
Kam se kam 45 days...Uske baad agar university chahe, to hum | STD
counter-affidavit file kar sakte hain. | STD
Aisa lagta hain ki aap High Court ke decision ko accept karna nahin chahte. | STD
Usse pe gaur kiya jayega. Dont forget there are higher courts. | STD
Kachra ek-do din se sad raha hain. | STD
Kaun hai aap? | STD
Siras sahab se meeting hain. Aap? | STD
Upar rehte hain. Accha, Siras hain unka naam?? Kabhi aate hain, kabhi nahi. Light chalu dekhke pata chalta hain ki koi ghar pe hain ya nahin. | STD
Kya kaam karte hain woh? | STD
Lecturer hain AMU mein aur ek Kavi bhi hain. Sahitya academy award mila tha unhe. | STD
Unko kabhi chai pe bulana chahiye. | STD
Deepu, jaldi chal. | DEL
Kya hua? | STD
UP-Chattisgarh border par kal ek bahut bada naxal hamla hua. 75 CPRF jawan maare gaye! Unme se do yahan Aligarh ke bahari gao mein rehte the. Unki bodies aaj ghar aa rahi hain. Nameeta chahti hain ke hum unke parivar waloh se baat kare. | STD
Lekin.. Siras? | STD
Arey, woh kahin nahin jaa raha hain. Yeh bahut badi story hain Deepu, chal! | STD
Agar professor sahib aaye to unse kehna ke Deepu Mathew aaya tha. | STD
Kaun lagte the yeh tumhare? | STD
Mera pota | STD
Kya naam tha unka? | STD
Raju. 19 saal ka hua teen din pehle... | STD
Mera ladka. Bees saal ka tha. Abhi abhi force mein bharti hua woh. | STD
Uski beevi kal se behosh hain. kaise sambhalu uske bache ko? | STD
Woh..ek photographer ka phone aaya....Aligarh se...Deepu, yaar, Uski...uski laash mili...ghar ke andar se...! | STD
Kiski? | STD
Siras ki Deepu.. Siras ki!! | STD
Main, main..wahan pe tha...wahah kachra tha...do din ka...uski maa o rahi thi...baees saal ka tha. Woh Laash mili. Water cooler tha na... | STD
Deepu, hold yourself together. Apne emotions ko alag karo isse. Do you understand? You are a journalist... | STD
Gay tha woh! | STD
Gay matlab? | STD
Samlaingik. | STD
Rikshawaale ke saath pakda usko. News mein aaya tha. | STD
Nahi jay sakte andar. Abhi abhi Forensics aayi hain. Body ko post mortem ke liye bheja jaa raha hain. | STD
Mujhe TV ka volume kam karne do, taaki hum baat karsake... | STD
Mein America jaana chahta hoon. Jahan mere jaise log izzat se reh sakte hain. | STD
Mein tumhe aise hi phone pe interview nahin karne dunga. You must come here and meet me! | STD
Chalo, ab phone rakhta hoon. Bahut neend aa rahi hain. | STD
Aisa maloom hota hain ki inki maut do din pehle hee hui thi. Beech raat mein. | STD
Maut wajah kya thi? | STD
Kya suicide case hai yeh?? | STD
Aap victim ke ghar ke bahar kya kar rahe the? | STD
Meri unke saath aaj interview thi. | STD
Aapko andar se koi smell nahi aayi?? | STD
Mujhe laga smell kachde ke dabbe se aa raha thi. | STD
Professor se aakhri baar kab baat hui aapki? | STD
Parson raat ko, takreeban sawah-nau baje, woh sone jaa rahe the.. | STD
Kya matlab? | STD
Kamre se koi mobile phone baramat nahi hui. | STD
To phir kisine phone ko kamre se nikal diya hoga... | STD
Cant be. Kamra andar se lock tha. | STD
Main rikshaw union ka head hoon. Irrfan do din pehle Jamalpur wapas aaya tha. Jaise Irrfan ko Professor ki khabar mili to usne apne aap ko kamre mein bandh karke jala diya.... | STD
Irrfan tumne apne aapko kyon jalaya? | STD
Isiliye ki tumne Professor ke saath galat kiya tha? | STD
Aap jao idhar se. | STD
Please Irrfan. Mujhse baat karo. Professor Siras ko main acche tarah se janta hoon. Woh tumpar koi karawahi nahi chahte the. Ant tak tumhare acchai ke liye sochte the. | STD
Yeh mere liye jaan-na bahut zaroori hain Irrfan. Kya AMU se kisini tumhe paise diye the...us raat darwaza khula choddne ke liye? | STD
Kya tumne ghar se un reporters ko koi signal diya tha? Kya tumne darwaza andar se khol diya tha? | STD
Batao Irrfan. | STD
Main gareeb aadmi hoon sahib. Mujhe muaf kardijiye. Main gareeb aadmi hoo sahib, main garib aadmi hoon. | STD
Mujhe aapka computer use karna hain. | STD
Woh mujhse help maangne aaya tha Deepu. Do baar. Par maine uski madat nahi ki. | STD
Woh mujhe apna friend samajhta tha... | STD
Jinhe woh peeche chhod gaye, unhe samajh mein aane laga ki unka ek hissa humesha ke liye kho chukka tha. | STD
Woh ek gay aadmi se kai zyada the. Siras Marathi ke professor the, ek award-winning kavi the. Woh ek sacche Brahmin the, joh bhagwan aur Lata Mangeshkar ke gaano ko barabar pyar karte the..Ek line mein agar samaya jaye, to Siras ko apne zindagi se bahut pyar tha. Aur izzat aur maryada unke liye utni hi zaroori thi, jitni ki zindagi khud. | STD
