Ek rikshawalle ko dhoond raha hoon. Umr hogi kuch pachees-chabees saal. Patla sa hain, daadi baniye hui hain. | STD
Saab, main pachees saal ka hoon. Kahi mereko to nahi dhoond rahe hain? | STD
Aage puchiya sahib. | STD
Lamba sa hain, daadi hain uski, medical colony main aksar jaata hain... | STD
Lambe baal hain? | STD
Haan. Jaante ho usko?? | STD
Baithiye sahib. Aligarh ghumate hain. | STD
Professor Siras, kya apko isiliye sataya jaa rahan hain, kyonki aap gay hain?? | STD
Main bahut disturbed hoon ki 22 years service ke baad, mere university ne aisa kadam uthaya hain. I am very much upset that they barged into my house without... | STD
Mr Shakeel Mushtaq, of the AU students Union. Kya AU ko malum nahin ke gay sex ko Delhi High Court ne pichle saal decriminalize kiya tha? | STD
Madam, High Court ne inhe azadi di hogi India mein is tarah rehne ki, lekin AU ke courts ne aisi choot nahin di hain. | STD
Aap kya kehna chahte hain, AU ke ‘courts’, India ke High Courts se oonche hain??? | STD
Aligarh ko raat mein hi dekhna chahiye. Din ke bheed mein maza nahi aata. | STD
Kya jaante ho uske bare mein? | STD
Usme kya rakha hain sahib? Hum chalte hain na? Maalish waalish karaenge..? | STD
Uska naam kya hain? | STD
Irrfan. | STD
Kahan rehta hai? | STD
Jamalpur. Aligarh ke bahar padta hain... | STD
Chalo wahan.. | STD
Raat ko danger jagah hain saab..kal subah jaana... | BOM
Abhi chalne ka kitna loge? | STD
500 rupya lagege saab | BOM
300 dunga. | STD
Madam baat yahan ‘courts’ ki nahi hain, baat hain ek azeem rivayat ki. Ustaad aur shagird ke paak rishte ki. Agar teachers hi aisi ‘immoral’ activities ki rah-numai karenge, to students par kya asar padega?? | STD
Mr Saleem Kidwai, historian and author of ’Same-Sex Love in India’, please respond to this insolent man. | STD
Agar is naujawan ne tareekh padi hoti, to ihe pata hota ki homosexuality par AU ke views, sau saal pehle bhi, progressive aur tolerant the... | STD
Aap jaante hain ki England ke mashoor novelist EM Forster jinhone 1924 mein, ‘A Passage To India’, likhi, woh India kyon aaye? | STD
Kyonki unhe ek Indian naujawan se mohabbat ho gayi thi...! | STD
Aur woh naujawan khud AU ke founder, Sir Ahmad ke bete Sir Tanvir Ahmad the!! Joh AU ke VC bhi reh chuke hain! | STD
Kya aap yeh keh rahe hain ki Sir Tanvir homosexual the?? | STD
Nahi. Sir Tanvir ek tolerant insaan the. Forster ne do baar Sir Tanvir ko propose kiya, unke naam kavitaaye bhi likhi, lekin Sir Tanvir ne badi izzat se unko inkaar kar diya. Iske bavjut, un dono ki dosti humesha barqarar rahi. | HUM
Iske aage nahi jayenge. | STD
Kahan rehta hain? | STD
Woh masjid dikh raha hain? Uske paas.. | STD
Irrfan kaha rehta hain? Rickshawala... | STD
Kya dekh rahe hain? | STD
Bhai, Irrfan kaha milega? | STD
Kaunsa Irrfan? | STD
Woh rikshawallah. | STD
Idhar nahi hain. | STD
Woh lamba sa hain, dadi aur lambe baal.. | STD
Kya kaam hain..? | STD
Woh...Personal hain. | STD
Kahan se aaya be tu? | WUP
Dilli se. | STD
Personal maane kya?? | WUP
Agar AU ne yeh stand nahi liya to AIDS jaisi bimariyan campus mein phailengi.... | STD
Irrfan? | STD
Woh gaya.. | STD
Kahan? | STD
Malum nahi. Usko bahut peeta. Jaan bacheke bhaga. | STD
Kisne? | STD
Muhalle walon ne. Police ne bhi. Bhaag gaya. | STD
Bhenchod, tumlog raat ko idhar kyon aate ho? | WUP
Khujli hain pichwade mein? | WUP
Irrfan se gaand marana chahta hain?? | WUP
Bamboo ghussa de kya? | WUP
Bhenchod. Tumlogo ki wajah se police aati hain idhar. | WUP
Wapas dikha to lund kaatke mooh mein ghused dunga.. | WUP
Aap-log Jamalpur jaise ilaakon mein kyun jaate hain? Shukr karo jaan salamat hain. | STD
Irrfan ko police ne kyon peeta? | STD
Kisiko peeta nahi. Normal tareeke se pooch-taach hui.. | STD
Sahib ne bulaya hain. | STD
Sir, professor Siras case ke ek important witness ko kyon pita gaya? | STD
Bhai, baar-baar wahi jawab du kya?? Dekhte nahin, sab yahan busy hain. | STD
3 din mein cabinet minister AU ke tour pe aa rahe hain. | STD
Meri maniye to yeh professor ka business chhod hi dijiye. Galti hain unki. Jamalpur ke ladko ko ghar mein bulana, khatre se khali nahi. Yeh log to apni rooh bhi kachori ke daam bech denge. | STD
Sir, ek aur baat... | STD
Kya un reporters ka naam mil sakta hain jo Professor Siras ke ghar ghusse the.. | STD
Kyo bhai Byomkesh? Aur karenge investigate? | STD
Nahin. Unka interview lena hain. | STD
Adil Hussain tha reporter...NEWS100 se bataya... | STD
Aur doosra? | STD
Doosra kaun? Ek hi to tha. Adil Hussain. | STD
Haan Deepu? | STD
Aapse baat karna chahta hain. | STD
Permission chahta hoon, Kuldip Nayyar, managing editor NEWS100, ko bulaya jaye. | STD
Reporters Adil aur Misam, aapke channel ke saath kab se kaam kar rahe hain? | STD
Woh humare liye kaam nahi karte. | STD
To aap unhe nahin jante? | STD
